保真无中介 可短租可月付拎包入住 紧邻和谐广场西市场省立医院,2室2厅1卫,整租,90,南,中层 / 6层,槐荫,东方新天地花园,槐荫西市场 - 经四纬十二路,2500,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.房子保持很好，收拾的也很干净，直接拎包入住。2.户型方正，卫生间空间较大。3.餐客比例协调，有意者请与我联系。4.为您安家尽心竭力，是我的荣幸，很高兴为您服务小区优势：1.小区环境优雅舒适，宁静怡人2.小区配套设施齐全，交通便捷我能做的事1.通过了解您的租房意向，帮您精心挑选房源，并仔细核实每一个房源条件2带您看房，直到您满意为止3.快速高效为您物业交割（水、电、供暖等一系列物业问题）4.以真诚的态度，周到的服务，到位的维护，为您安家保驾护航我所发的每一套房源都是真实存在的，在小区都可以找到。希望您找到合适的房子。而不是将就！
2台新装空调 免费WIFI 拎包入住 出行方便 独立阳台,1室1厅1卫,整租,63.85,南北,低层 / 15层,槐荫,阳光100国际新城T区,槐荫阳光100 - 建新路,1600,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭']",【房屋位置】此房位于阳光新路中段，.好路段两室两厅生活方便拎包入住诚心租价格可谈。【户型结构】客厅卧室朝阳户型，更好的采光和观景！布局合理，独享静谧生活！尽显舒适！【产权明晰】本房源为业主一手房源，产权清晰，无抵押无查封，房东着急出租，希望找爱家爱干净的人入住，诚心租房。【配套设施】精装环保房家具家电拎包入住社区处于商业中心区吃喝娱乐一体，更有大型阳光美乐汇，满足您的生活需求。交通便利，出门车站。绿化率高，居民素质、高。附近有配套幼儿园及，医疗设施完善。
甩租 华能路 化纤厂路 汇隆广场附近 精装修 电梯房 有暖气,3室2厅2卫,合租 - 主卧,21,南,中层 / 32层,历城,大地锐城,历城七里河 - 华能路38号,580,无,"['热水器', '洗衣机', '冰箱', '宽带', '可做饭']",周边配套设施学校、医院、银行↓公园、餐饮、娱乐、菜市场、超市、商场等设施齐全。第二:公交十分方便，出行方便，上下班更方便。第三:周围商店，购物方便，节省您的宝贵时间。第四:小区绿化率高。环境优美。宁静和谐，好环境总会给人带来好心情。第五:房干净整洁，温馨舒话，窗明几争，就等看您的包入住。第六:家电齐全宽敞明亮布局大方
特价.路劲东城.可月付.有暖气.无中介.大润发.荣盛.全福,3室2厅2卫,合租 - 次卧,26,南,低层 / 33层,历城,路劲东城,历城全福 - 二环东路239号,999,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']","1、设施齐全。房子精装修,安静温馨,家具家电齐全,衣柜、电脑桌、24热水,高速无线宽带网、全自动洗衣机、空调、暖气、应有尽有,可拎包即住,让你生活无忧。2、位置优越。小区周围超市,银行,菜市场,各种小吃餐馆,生活设施一应俱全,休闲购物吃饭非常方便,满足您的各种生活需求!3、交通便利。出门就是公交站牌,多路公交,交通便利,方便出行,解决您上下班的忧虑!4、环境优美。小区环境优雅,绿化率高,干净卫生,物业服务好,居住温馨舒适,管理规范,保安巡逻,安全有保障.5、房源真实。,真实照片,"
维尔康宿舍出租 精装修 附近维尔康肉类水产市场 随时看房,2室1厅1卫,整租,76.31,南北,中层 / 6层,历城,维尔康宿舍,"历城历城周边 - 工业北路263,268号",1399,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '可做饭', '阳台']",【格局】2室1厅1卫，采光好，视野无遮挡。【价格】租金1399元/月【装修】房子居家精装，保养全新【图片为本房图片】【看房】24随时。交通：8，71，46，106，k92，k93，k55，k57路公交车大学：工会管理干部学院、济南轻工学院、济南金融学院商场：华联超市、黄台菜市场医院：山大二院、社区门诊、济钢医院邮局：中国邮政全福网点银行：工商银行、农业银行、建设银行、齐鲁银行其他：兴泉大酒店、维尔康食品公司
中铁国际城精装南次卧原户型鲁商国奥城奥体中心省立医院拎包入住,3室2厅2卫,合租 - 次卧,29,南,高层 / 21层,历下,中国铁建国际城,历下解放东路 - 奥体西路北段2666号,888,距离地铁R3号线礼耕路站582米,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",房子全新装修，家电有：热水器、洗衣机、空调等；家具有：床、衣柜、电脑桌、窗帘、晾衣杆等。100M光纤宽带。房间为民水民电无任何杂费后期有保障免费维修保洁。价格区间不等，（根据房间面积大小，朝向价格略有不同）详情请来电咨询。适合刚出来工作或已经工作的青年朋友。。房间干净清爽。看了你肯定满意。独门独户．安静舒适，互不打扰。要求：安静不吵闹作息规律大家出门在外相遇都是缘分都希望能相互之间考虑一下保留一点好感另有百套房源单间300-500次卧600-800.主卧900-1000，独卫1000-1400，
武警单位宿舍 三室 低楼层 空调房 2000,3室1厅1卫,整租,97,南北,低层 / 11层,高新,景苑小区,高新经十路高新段 - 经十路,2000,无,"['空调', '热水器', '洗衣机', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",高新区武警总队单位宿舍设施齐全电梯房双气三线齐全精装床衣橱电脑桌沙发茶几空调洗衣机热水器油烟机炉灶等小区位于经十东路与水华路，汉峪金谷舜泰广场东，近齐全软件园、美莲广场、奥盛大厦、银河大厦、万达文旅城、银座汽车等高新区乘坐115116136直达水华路站下车即是实拍图片有钥匙随时看房随时入住
景苑小区主卧带阳台全女生带厨房汉峪金谷舜泰广场直达公交车,3室2厅2卫,合租 - 主卧,32,南,高层 / 11层,高新,景苑小区,高新经十路高新段 - 经十路,650,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",房子全新装修，家电有：热水器、洗衣机、空调等；家具有：床、衣柜、电脑桌、窗帘、晾衣杆等。100M光纤宽带。房间为民水民电无任何杂费后期有保障免费维修保洁。价格区间不等，（根据房间面积大小，朝向价格略有不同）详情请来电咨询。适合刚出来工作或已经工作的青年朋友。。房间干净清爽。看了你肯定满意。独门独户．安静舒适，互不打扰。要求：安静不吵闹作息规律大家出门在外相遇都是缘分都希望能相互之间考虑一下保留一点好感另有百套房源单间300-500次卧600-800.主卧900-1000，独卫1000-1400，
景苑小区 三室 家具齐全 随时入住,3室1厅1卫,整租,97,南北,高层 / 12层,高新,景苑小区,高新经十路高新段 - 经十路,1900,无,"['热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",高新区武警总队单位宿舍设施齐全电梯房双气三线齐全精装床衣橱电脑桌沙发茶几洗衣机热水器油烟机炉灶等小区位于经十东路与水华路，汉峪金谷舜泰广场东，近齐全软件园、美莲广场、奥盛大厦、银河大厦、万达文旅城、银座汽车等高新区乘坐115116136直达水华路站下车即是实拍图片有钥匙随时看房随时入住
唐冶精装合租 银丰 绿地 东八区附近  家具家电齐全 可付一,3室2厅2卫,合租 - 主卧,20,南,低层 / 30层,历城,绿地城1期,"历城唐冶 - 唐冶中路,近唐冶西路",600,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",1简装3室随时看房签约入住2世纪大道南唐冶西路交通便利3小区内绿化环境良好小区附近多家超市生活便利4欢迎致电!随时看房！！！
紧挨着荣盛时代 鹊华天禧 全福大润发 可月付 干净卫生 拎包,3室2厅2卫,合租 - 主卧,22,南,中层 / 26层,历城,鹊华天禧,历城全福 - 北园大街37号,688,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",1、小区周边配套丰富，饭店，超市，生活十分便利！地理位置优越交通便利，多路公交经过家门口，附近公交车交通便捷！1、小区周边配套丰富，饭店，超市，生活十分便利！地理位置优越交通便利，多路公交经过家门口，附近公交车交通便捷！2、家里有床、衣柜，桌子等家具一应俱全3、.房源价格低廉4、.物品损坏15天之内免费上门维修5专业保洁程每星期定期检查，排除电路水路等安全隐患6、租赁期间如有各项问题，我们房管员为您排解解难协调调解备注为了保障合租的安全，所有租客都要经过验证。7、温馨提示养的、没有正当职业的、不爱干净的、大吵大闹的，为了营造干
三庆新馨家园出租精装修 附近莱钢凯旋公馆 御化嘉苑拎包入住,2室1厅1卫,整租,83.54,南北,高层 / 6层,历下,三庆新馨家园,历下康虹路 - 化纤厂路6号,1899,距离地铁R3号线花园东路站1677米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '可做饭', '阳台']",【格局】2室1厅1卫，采光好，视野无遮挡。【价格】租金1899元/月【装修】房子居家精装，保养全新【图片为本房图片】【看房】24随时。公交：37路、k95路线(华能路化纤厂路站)大学：山东大学山东商业职业学院商场：万隆超市、银座购物广场华信店医院：历下区人民医院、齐鲁花园医院，第三人民医院，欧亚男科医院邮局：中国邮政华龙分所银行：建设银行、工商银行、农业银行，农村信用社齐鲁银行其他：城市之光商务酒店、华诚大酒店煌庭一号娱乐会所、华信银座、小区内部配套：小区北部有双语幼儿园、大型活动会所
新出~锦绣泉城~精装两居~南北通透~家具家电齐全~领包住,2室2厅1卫,整租,98,南,低层 / 20层,历城,锦绣泉城,历城华龙路 - 华龙路999号,1850,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.这个小区物业正规，24*物业，安全的很2、咱们小区周边有很多济南小吃，满足吃货的要求，之前我经常在这吃3、自家房子，价格低廉、房子照片都是我自己亲自拍摄的，随时看房，正规卧室，4、物品损坏24*内免费上门维修、我们有自己的维修师傅5、服每星期定期检查卫生，排除电路水路等安全隐患6、房间干净整洁、每天都会打扫卫生、希望租客能吧那当成自己的家、维护机自觉打扫卫生、7、租赁期间如有各项问题，我们客服为您排解困难协调调解温馨提示养宠物的、没有正当职业的、不爱干净的、大吵大闹的，为了营造干净、和谐、安全的居住环境，以上租客不租谢谢合作、
热租，无中介！康城花园，火车站k88，济南站大润发，宝华新区,3室2厅2卫,合租 - 主卧,21,南,中层 / 17层,天桥,康成花园,天桥堤口路 - 宝华街37号,600,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",只为您寻找一个温馨舒适安逸的房间，给您一个家的感觉~1房源真实，全新家具家电，全新全自动洗衣机，给您一个良好舒适的居住环境2小区绿化好，保安24*巡逻，安全可靠3房间南北通透，采光好，视野棒，带独立阳台4免费保洁，免费维修家具家电，免费上网5只租给附近上班的白领或者是刚毕业的大学生，，不租给不三不四混社会的人，不租给酗酒爱吵闹的人6本公司济南各地均有房子，这里不满意，我们免费给您找，期待您的来电让在大城市漂泊的您住进一个幸福的“家”，给您够得着的幸福入住起将配有专业维修售后团队，免去您的生活烦恼，周末尽情嗨！地处成熟商圈，周围菜市场，超市，小吃街等等，SO，无论你是购物狂、吃货、还是夜猫、*宅、统统都满足！服务保障1.租客身份验证，入住更放心2.公共区域定期保洁，居住环境焕然一新
浆水泉路|旅游路|大润发|万达广场|经十路|省博|转山西路,2室2厅1卫,整租,93.27,南北,中层 / 25层,历下,名士豪庭1区,历下浆水泉路 - 经十路,3500,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",大学校园集中，财经大学、政法学院、山东大学，再加上紧邻博物馆，有着强烈即的文化氛围沿经十路东去，5路程到济南的CBD商务中心，奥体中心，上班休闲两不误又紧邻山东省妇幼医院、武警医院1、小区物业负责，治安好，环境好，干净整洁卫生2、生活方便：附近就有早市、菜市场、满足您基本的生活需求，附近还有华联超市、大润发3、上学方便：德润、辅仁、山东财经大学燕山校区4、交通方便：小区位于浆水泉路东侧，附近就有公交站牌，131路、151路、152路、312路等公交车路过，出行方便5、周边配套：银行有建设银行，中国银行，中国农业银行，邮政，医院有武警医院，山东妇产医院6、楼层极好。房间精装修，非常干净，采光好通风佳，全套家具家电，拎包入住。7、采光好，环境优美，安静不吵。小区住户素质高。有兴趣可以给我打电话，带您看一下真实的房子！
解放东 金泉大厦 鼎峰中心 东环国际 主卧独卫 次卧,3室1厅1卫,合租 - 主卧,30,南,高层 / 11层,高新,山久水园,高新奥体西路 - 茂岭山路1号,688,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",无中介，拎包入住，精选好房！！！一、【方便】1、水费电费都是正规居民用电用水费用标准；绝无乱收费现象；2、交通便利，短时间就可以步行到公交站牌；3、周边生活设施齐全，商场、超市、菜市场满足生活需求4.保证照片真实.二、【周边环境】1.成熟小区.居家环境成熟，生活配套设施完善！2.物业管理，安全规范！3.公共区域保证每周打扫卫生.
CBD近万象城伴山居 2室出租配套齐全精装全新家具家电可月付,2室2厅1卫,整租,88,南,低层 / 18层,历下,城投伴山居,历下解放东路 - 工业南路,3600,距离地铁R3号线丁家庄站1764米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",伴山居，位于工业南路以南，五顶茂岭山脚下，地处CBD核心区域，项目规划有18班的幼儿园及54班中小学，CBD内唯一配套必年一贯制教育社区，边上有茂岭山公园、圭山公园、绸带公园，形成立体环绕式生态景观，就相当于天然的氧吧；
汉峪金谷舜泰广场附近精装修单间家具齐全拎包即住,3室2厅1卫,合租 - 主卧,28,南,中层 / 23层,高新,北胡灏苑(一区),高新汉峪 - 龙奥北路,500,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",从400到1000独立卫生好房出租间独立厨房都有，放心房源，供你挑选，拎包即住，一个电话随时看房。，出行十分方便，是周边上班族白领的*地。紧邻齐鲁软件园丁豪广场国际会展中心银荷大厦三庆财富中心中铁财智中心省立医院东院舜泰广场浪潮集团美莲广场汉峪金谷海信龙奥九号龙奥天街华创观礼中心留学人员创业园
舜耕路7号舜耕山庄临近财经大学一楼超值好房实拍精装双卫方便！,3室2厅2卫,合租 - 主卧,28,南,低层 / 6层,市中,舜耕路7号院,市中舜玉路 - 舜耕路7号,899,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",在寻家的路上，我愿成为您脚下的灯，路上的光；我会用心帮您找到满意的房子！一个温暖的家，从一个电话开始…无中/介费看房费拎包就住位置优越，交通十分方便房间设施：WIFI覆盖冰箱洗衣机24H热水家具家电齐全冷暖节能空调衣柜写字桌椅子超大阳台H型落地晾衣架升降晾衣架观景飘窗设计市政供暖小区环境：小区为专业物业管理的花园式小区，24H保安巡居住人群：有为青年，大学生，上班白领一族等高素质人群1.保洁阿姨定期打扫，让您住得舒心，省心2.专业维修师傅，生活更加轻松3.独立电表，一户一表，避免用电困扰由您选择五不租一、养宠物不租二、吵闹不租3.带老人小孩不租四、年龄大不租五、社会闲杂无正当职业者不租4.华洋名苑千佛山医院羊头峪文东裕华园历苑小区甸柳开元山庄姚家武警医院同心苑山久水园舜耕燕山山大解放路舜山园济大路伟东新都趵突泉大明湖文化东西各种单间随您挑。
新出好房 精装三室，凯旋新城 五院附近 同小区多套优选房源,3室2厅1卫,整租,118,南北,高层 / 13层,槐荫,凯旋新城(西区),槐荫段店 - 经十路25166号,2400,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",欢迎光临我的网上店铺：1位置：经十路沿线，紧邻五院，儿童医院，华联超市，和谐广场，苗圃花园，出行方便！2社区：花园式社区，环境优美，绿化率高，人文素质高，物业管理完善！3户型：经典两室两厅，两室客厅都朝阳，客厅落地飘窗，户型方正，采光！4配套：精装修，家电家具齐全，拎包入住，小区带电梯!，好房不等人，有意者联系我！
无任何杂费房间实拍，南向阳台洗漱池，万象城猿辅导人寿大厦附近,3室2厅2卫,合租 - 次卧,24,南,中层 / 24层,历下,拉菲公馆,历下经十路历下段 - 转山西路1-17号,750,距离地铁R3号线奥体中心站1410米,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",房子，南北通透，空气流通，阳光充足。精致装修，温馨周到，中间楼层，比楼上的住户更接近风景，比楼下的邻居更感惬意。2、交通便利，楼下就有多条公交路线穿过，几就能到达口。3、周边配套设施齐全，超市、银行、医院、，一应俱全，满足您的生活所需。4、房屋精装修，家电齐全，可拎包入住。
唐冶 保利花园 两室精装家电齐全 近经十路 保税区 邢村立交,2室2厅1卫,整租,80,南北,低层 / 33层,历城,保利花园,历城邢村立交桥 - 经十东路299号,1800,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1、客厅宽敞大方使用率高2、卧室温馨舒适3、厨房设施齐全三社区配套1、环境优雅、低密度社区2、小区绿化率高空气清新4、周边配套地理位置得天独厚出行方便节约时间期待您的来电和咨询！
二环南路边领秀城华润仰山舜阳山庄 精装复式 办事处居住好停车,4室3厅3卫,整租,360,南北,低层 / 6层,市中,舜阳山庄,市中鲁能领秀城 - 二环南路,13000,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",二环南路华润舜阳山庄，靠主路交通便利精装修复式，带车库好停车家具家电齐全，居住办公办事处好用看房方便，随时联系我
阳光100 和谐广场 精装一室 客卧分离 拎包入住 大阳台,1室2厅1卫,整租,65.84,南,中层 / 18层,槐荫,阳光100国际新城(H...,槐荫阳光新路 - 阳光新路19号,1800,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭']",【户型优势】阳光100F区，出行便利，楼下车站；精装高层南向，一室两厅一卫，独立阳台，家具家电齐全。高层，采光通风视野很好，居住温馨舒适。楼下美乐汇商场，购物娱乐影院KTV一应俱全！【房屋现状】高楼层，舒适安静。幼儿园、小学、中学（外国语中小学九年、阳光100小学）让您的不出小区轻松入托、入学，坐享教育资源。鑶【商圈优势】阳光100国际新城是经十路和谐广场商圈大的成熟社区，地理位置优越，设施配套齐全，餐饮、购物、娱乐、出行一步到位，让你的生活更加方便快捷。
凯旋新城经十路 精装修双气 电梯房 五院儿童医院 段店营市街,2室2厅1卫,整租,95,南北,中层 / 25层,槐荫,凯旋新城(西区),槐荫段店 - 经十路25166号,1600,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",欢迎光临我的个人网上店铺我将竭诚为您服务1、位置：经十路段店营市街，紧邻五院，儿童医院，森林公园，舜和国际酒店，省立医院西院，华联超市，和谐广场，财富壹号段店市场，生活设施齐全等2、户型：经典两室两厅，南北通透，户型方正，采光好、全明格局，客厅宽敞大气。3、社区：凯旋新城西区，花园式封闭社区，绿化环境好，环境优美且安静，人文素质高，物业管理完善，小区治安好，停车非常方便4、配套：家电家具齐全，双气，电梯房，精装修，干净整洁，伶包入住！5.业主诚心出租，好房不等人本人承诺：在带看过程中不收取任何费用，房子满意后，双方签约合同！详情扫码咨询。。。希望您是讲卫生的好租客，安静不闹的好邻居!
翡翠外全福立交 荣盛时代附近 交通便利环境好价格优无中介,3室1厅2卫,合租 - 主卧,30,南,高层 / 22层,历城,翡翠外滩(南区),"历城小清河 - 小清河北路,近规划路",650,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",1、看房，只需您的一个电话2、价格，我肯定给您降到低1、看房，只需您的一个电话2、价格，我肯定给您降到低3、选房，我肯定是您的侦查员4、保证，我们公司提供的合同是完整的，我们的售后服务是让您省心的。如果你觉着这套房子不适合你，没有问题。咱公司还可以帮你免费找（还主营：路劲东城，鹊华天禧，锦绣澜湾，翡翠外滩，翡翠清河，水天福苑，金色港湾，龙岱花园，华福国际，荣盛时代，七里堡，东环花园，富翔天地，锦绣泉城七里河小区，百花小区，洪楼小区，等等等等。）我们的宗旨就是，全心全意为你客户服务！希望相信我一次，也希望相信你自己一次！我始终坚信：一切为了您的委托/为
精装一室 家具家电齐全 拎包入住 紧邻环宇城,1室1厅1卫,整租,65,南北,低层 / 33层,市中,中海国际社区中海国际公馆,市中鲁能领秀城 - 九曲庄路,1800,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",封闭式小区人身安全有保障人文素质极高绿化率高交通便利紧邻医院学校
燕山新居次卧实体墙可短租可月付可申请住房补贴省立医院奥体中心,3室2厅2卫,合租 - 次卧,29,南,低层 / 12层,高新,燕山新居,高新奥体中路 - 奥体中路,666,距离地铁R3号线礼耕路站792米,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",房子全新装修，家电有：热水器、洗衣机、空调等；家具有：床、衣柜、电脑桌、窗帘、晾衣杆等。100M光纤宽带。房间为民水民电无任何杂费后期有保障免费维修保洁。价格区间不等，（根据房间面积大小，朝向价格略有不同）详情请来电咨询。适合刚出来工作或已经工作的青年朋友。。房间干净清爽。看了你肯定满意。独门独户．安静舒适，互不打扰。要求：安静不吵闹作息规律大家出门在外相遇都是缘分都希望能相互之间考虑一下保留一点好感另有百套房源单间300-500次卧600-800.主卧900-1000，独卫1000-1400，
好房推荐！阳光100凤凰街，欧亚大观，王官庄，泉景大厦送免租,3室2厅2卫,合租 - 主卧,26,南,中层 / 22层,市中,泉景天沅秀园,市中郎茂山 - 刘长山路33号,590,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",1.小区周边配套丰富，饭店，超市，生活十分便利！地理位置优越交通便利，多路公交经过家门口，附近公交车交通便捷！2.家里有床、衣柜，桌子椅子，空调等家具一应俱全3.有厨房，可以做饭4.房源价格低廉5免费上门维修6.客服定期检查卫生，排除电路水路等安全隐患7.租赁期间如有各项问题，我们客服为您排解解难协调调解重要的是无-中-介-费！！！温馨提示养宠物的、没有正当职业的、不爱干净的、大吵大闹的，为了营造干净、和谐、安全的居住环境，以上租客不租若您觉得此房源不能满足您的需求，本人拥有区域所有在租房源，欢迎点击我的主页，里面有更多的真实照片及价格的房源供您挑选，直到您满意
二环西 森林公园 会展中心 精装修 拎包入住,2室2厅1卫,整租,89.3,南,高层 / 19层,槐荫,龙腾国际花园,槐荫张庄路 - 张庄路363号,2500,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",房屋亮点：1，该房子敞亮开阔，户型极好，家具配套设施完善。2，小区内安保性极好，随处保安巡逻。3，内设幼儿园，便于接送。4，周边设有商场、超市、医疗、教育、休闲娱乐健身等项目。5，公交交通等设施齐全，交通便利，出行方便。6，小区发展成熟，绿化率高，空气清新，特别适合居住。租户稳定
出门 可看小清河美景 大润发购物 可押一付一 随时看房 可月,3室2厅2卫,合租 - 主卧,24,南,低层 / 30层,历城,荣盛锦绣澜湾,"历城全福 - 小清河南路,近将军路",750,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",1、舒适人性化的家具家电配置：床、衣柜、写字台、床头柜、床上用品、空调、洗衣机、台灯、电水壶、24热水，您可拎包即住。2、完善的服务：全覆盖wifi网络配置、保洁服务、全屋净水系统，专人负责的房屋管理员，您可安心入住。3、房子所在地理位置优越，就在您的办公场所附近，交通便利，节省上下班的时间，您可安心工作。
新出~七里河小区~精装修~南北通透~家具家电齐全~领包住,2室2厅1卫,整租,114,南北,低层 / 6层,历城,七里河小区,历城七里河 - 七里河路,1650,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.这个小区物业正规，24*物业，安全的很2、咱们小区周边有很多济南小吃，满足吃货的要求，之前我经常在这吃3、自家房子，价格低廉、房子照片都是我自己亲自拍摄的，随时看房，正规卧室，4、物品损坏24*内免费上门维修、我们有自己的维修师傅5、服每星期定期检查卫生，排除电路水路等安全隐患6、房间干净整洁、每天都会打扫卫生、希望租客能吧那当成自己的家、维护机自觉打扫卫生、7、租赁期间如有各项问题，我们客服为您排解困难协调调解温馨提示养宠物的、没有正当职业的、不爱干净的、大吵大闹的，为了营造干净、和谐、安全的居住环境，以上租客不租谢谢合作、
中国MALL城市之星 3室2厅2卫 2000元月 精装修,3室2厅2卫,整租,115,南,中层 / 26层,市中,中国MALL城市之星,"市中鲁能领秀城 - 英雄山路,近阳光东路",2000,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",三室两厅两卫，家具家电齐全，房主着急出租，电梯房，位置优越，方便出行，小区物业做的很到位，绿植高，人车分流，老人小孩在小区内玩很安全，小区旁边有各大银行，超市北京华联，购物广场，贵和购物广场，完全可以完全满足日常的居住要求。
景苑小区主卧阳台全女生（可申请住房补贴）汉峪金谷舜泰广场公交,3室2厅1卫,合租 - 主卧,31,南,高层 / 28层,高新,景苑小区,高新经十路高新段 - 经十路,888,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",房子全新装修，家电有：热水器、洗衣机、空调等；家具有：床、衣柜、电脑桌、窗帘、晾衣杆等。100M光纤宽带。房间为民水民电无任何杂费后期有保障免费维修保洁。价格区间不等，（根据房间面积大小，朝向价格略有不同）详情请来电咨询。适合刚出来工作或已经工作的青年朋友。。房间干净清爽。看了你肯定满意。独门独户．安静舒适，互不打扰。要求：安静不吵闹作息规律大家出门在外相遇都是缘分都希望能相互之间考虑一下保留一点好感另有百套房源单间300-500次卧600-800.主卧900-1000，独卫1000-1400，
无中介f拎包入住洪家楼印象城山东大学彼岸新都海蔚广场家电齐全,1室1厅1卫,整租,50,南,高层 / 12层,历城,广厦聚隆广场(商住楼),历城洪家楼 - 洪家楼南路1号,2100,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",下面就是印象城，旁边还有洪楼夜市，非常热闹，山东大学，距离宽厚里，大明湖两公里，拎包入住，家具家电齐全。可根据租客个性化需求配家具，无任何费用，带办车位，代办租房补贴！！！！！！
康桥颐东特价精装房源，高档小区 紧邻齐鲁软件园，支持随时看房,3室2厅2卫,合租 - 主卧,27,南,高层 / 22层,高新,康桥颐东,高新齐鲁软件园 - 新泺大街4326号,600,距离地铁R3号线礼耕路站979米,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",1：隶属于中高档次社区。此房南北朝向，格局相当漂亮，双卧和客厅是分离开的，客厅有独立的2个面，特别好摆家具和电器。户型，位置独特，视野开阔，空气清新，紧对花园，特别适合居家过日子。清晨时，您站在客厅里，沐浴着旭日的光辉，精神饱和舒畅！本房价位超值，唯一一套抄底房2：此房适用于办公，户型大气，空间设计合理，小区管理制度完善。业主诚心出售，看房方便，空房带空调，可自由设计公司工作空间，本人与业主沟通过，房子基本情况和价格都基本如实说明，如果您在其它地方看到类似房源与本人所发布房源有出入，请视为虚假房源。3：阳光充足，早晨的第一缕阳光直达，美丽的光辉成为一道风景，花园式社区，格局设计规整，空气清新，紧对花园，特别适合居家过日子。
包取暖可短租 舜泰汉峪金谷附近 民用水电,3室1厅2卫,合租 - 主卧,30,南,低层 / 19层,高新,南湖花苑(东区),高新汉峪 - 舜华南路,910,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",我们精选写字楼沿线的高档住宅小区，对房子进行标准化的装修，为济南的年轻人提供高品质的居住空间·主做商圈：高新万达，汉峪金谷，丁豪广场，齐鲁软件园，奥体中心、·时尚装修：专属风格设计、配置一应俱全、拎包入住·WIFI覆盖：房间WiFi全覆盖，自由畅游网络·及时维修：比男友更具男友力，大小故障为你搞定高新区历城历下，多套合租单间暖气空调500至1500元的都有拎包入住本人专业做高新区租赁，您可以先看房再决定是否租住，就算是单纯的看房也没关系·看房方便：打进电话随时看房，
