标题,户型,租房方式,房屋大小,房屋朝向,楼层,小区名称,地址,房租,地铁,房屋配置,房屋描述
七里堡小区 2室1厅1卫1799每月洪楼广场鑫达小区东兴寓城,2室2厅1卫,整租,70㎡,南,高层 / 6层,七里堡小区,历城七里堡 - 二环东路1728号,1799,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",【格局】2室1厅1卫，采光好，视野无遮挡。【装修】家电家具齐全，房子居家精装，保养全新【图片为本房图片】【看房】24随时。
乐天小区，南北通透，价格优惠，交通方便,3室2厅2卫,整租,120㎡,南北,中层 / 6层,乐天小区(三区),长清恒大绿洲 - 大学路958号,1250,无,"['洗衣机', '暖气', '阳台']",南北通透，紧邻小学幼儿园，中学，楼下集市，楼层好，附近有富群超市，华联超市。
龙湖冠寓 开业钜惠 精装套一 家具齐全 拎包入住 无中介短租,1室1厅1卫,整租,32㎡,南,高层 / 18层,恒大滨河左岸朗润园,天桥历山北路 - 水屯路,1580,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",租冠寓可享济南市政府专属人才补贴！冠寓是龙湖集团推出的长租公寓品牌，致力于营造一个舒适、安全、便捷、社群、时尚的空间。打造一个以长租公寓为核心，生活服务多功能在内的多元化社区。1.房屋配套：一室一卫，20-35平，含洗衣机冰箱鞋柜空调WIFI，知名家具家电配套齐全。2.超炫公区：免费使用健身房、台球厅、影音室、会客室、公共厨房餐厅，满足多种生活需求，营造健康积极的社交场所。3.多彩社群：每月至少2次社群活动，蹦床、K歌、爬山、轰趴、狼人杀谁是卧底剧本杀、龙虾宴、音乐节、真人CS、聚餐等等，活动不断，更亲密的邻里关系，更自在的志同道合，95后运营官带你体验精彩生活。4.服务：95后年轻运营官、保安、保洁、维修齐全，24H无缝隙守护租户生活。5.交通、车位：门店位于北园街道小清河北路，公交便利，楼下就有停车场，停车方便。6.安全可靠：龙湖集团全国36所城市直营，品牌保障，冠寓有店长、运营官、龙湖物业24h无缝隙守护您的安全，且冠寓出入需要梯控、指纹识别、房间有智能密码锁、公共区域有摄像头监控，多维度保障您的的安全，让我们的每一位租户在冠寓都住的安心。7.周边配套：公寓自带自动售卖机、小电充电宝、农夫山泉、充电桩、公共洗衣机等，日常生活便捷。1公里内超市，银行等生活配套齐全8.智慧生活智能APP三重智能管理，安心舒心。自主研发“冠寓”APP，轻松实现掌上生活缴费（水电）、线上看房、智能门锁密码管理、故障报销、租约管理等智能化服务。
豪华社区 300W精装四室 拎包入住 奢华品质 近千佛山,4室2厅2卫,整租,252㎡,南北,低层 / 11层,开元府,历下环山路 - 燕子山西路50号,19999,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",房东诚心出租图片均为真实图片，手慢无请致电
荣祥花园水景华府 3室2厅2卫 拎包入住 电梯房,3室2厅2卫,整租,118㎡,南北,低层 / 12层,实力荣祥花园水景华府,槐荫经十西路 - 腊山北路,2200,无,"['电视', '空调', '热水器', '洗衣机', '床', '沙发', '衣柜', '可做饭', '阳台']",小区介绍：拥有30%以上的绿化率，堪称天然氧吧。门口就有公交车站地铁站，上下班方便。房源介绍：这套房子户型超好，大厅主卧朝向合理，特别敞亮，每个房间都很大，采光相当好业主情况：业主诚心出租，随时看房，资深房产顾问的我竭诚为您服务！
新上房源 真实在租 业主急租希望年前租出去 价格低 欲租从速,2室1厅1卫,整租,86㎡,东,低层 / 27层,汇展香格里拉,高新国际会展中心 - 新宇路1号,1750,距离地铁R3号线丁家庄站1984米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']","房屋介绍一、房屋基本信息：1、楼盘名称：汇展香格里拉2、房屋性质:住宅3、装修情况:精装修、客厅瓷砖,卧室瓷砖4、配套情况：各种家电一应俱全，拎包即可入住。5、腾房情况：房屋现在空置,干净整洁，随时入住。二、小区配套：1、附近万达广场、银座超市、菜市场等生活便利。2、交通方便：多路公交直达三、个人介绍:本人从事房地产行业多年,主高新商圈，对周边房源均有了解。如果您有任何房产方面的需求,欢迎致电,我将竭诚为您服务。"
八里桥 年底捡漏 精装三室 带全套家具家电 带地下室 有车位,3室2厅2卫,整租,135.5㎡,南北,低层 / 12层,华夏金色阳光花园,天桥堤口路 - 堤口路177号,3000,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']","1:华夏金色阳光花园小区，花园式小区，环境好,交通便利，家具家电齐全，卧室朝阳，采光视.野好，小区内还有单独的幼儿园，随时拎包入住。2:户型是精装双气3室2厅1卫的房子，户型方正好用，客厅大，小区物业管理完善，安全有保障。3:有7路，12路，45路，91路，100路，107路等公交车。让你出行方便，想去哪去哪，小区东行500米是大润发，西行20米是八里桥水果市场，购.物方便又省心。"
新出~七里河华龙路~精装两室~南北通透~领包住,2室2厅1卫,整租,83㎡,南北,中层 / 6层,七里河小区,历城七里河 - 七里河路,1750,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.这个小区物业正规，24*物业，安全的很2、咱们小区周边有很多济南小吃，满足吃货的要求，之前我经常在这吃3、自家房子，价格低廉、房子照片都是我自己亲自拍摄的，随时看房，正规卧室，4、物品损坏24*内免费上门维修、我们有自己的维修师傅5、服每星期定期检查卫生，排除电路水路等安全隐患6、房间干净整洁、每天都会打扫卫生、希望租客能吧那当成自己的家、维护机自觉打扫卫生、7、租赁期间如有各项问题，我们客服为您排解困难协调调解温馨提示养宠物的、没有正当职业的、不爱干净的、大吵大闹的，为了营造干净、和谐、安全的居住环境，以上租客不租谢谢合作、
真 实房源精装修拎包入住，万科麓公馆，美莲广场，汉峪金谷,1室1厅1卫,整租,30㎡,北,中层 / 30层,万科麓公馆,高新齐鲁软件园 - 舜风路,1450,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",房子优势：1、房子格局很好，公寓，户型方正、采光超棒、独立卫浴厨房，拎包入住！2、房子位置很好，设施完善，紧邻汉峪金谷、龙奥天街、齐鲁软件园出门就有公交站和大型商场、各大银行。3、房子处于中高层，前面无遮挡，视野和采光都非常好，居家好选择。4、看房非常方便，提前一个电话就等候您的到来。
新出~百花小区华龙路~精装两室~两室朝阳~领包住,2室2厅1卫,整租,90㎡,南北,中层 / 11层,百花小区,历城七里河 - 华龙路2150号,1700,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.这个小区物业正规，24*物业，安全的很2、咱们小区周边有很多济南小吃，满足吃货的要求，之前我经常在这吃3、自家房子，价格低廉、房子照片都是我自己亲自拍摄的，随时看房，正规卧室，4、物品损坏24*内免费上门维修、我们有自己的维修师傅5、服每星期定期检查卫生，排除电路水路等安全隐患6、房间干净整洁、每天都会打扫卫生、希望租客能吧那当成自己的家、维护机自觉打扫卫生、7、租赁期间如有各项问题，我们客服为您排解困难协调调解温馨提示养宠物的、没有正当职业的、不爱干净的、大吵大闹的，为了营造干净、和谐、安全的居住环境，以上租客不租谢谢合作、
万科麓公馆 一居独卫 可短租1500  精装电梯房 无中介,1室1厅1卫,整租,32㎡,南,低层 / 32层,万科麓城,"高新齐鲁软件园 - 舜风路,近凤凰路",1500,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.房间标配双人床，衣橱，书桌，热水器，空调洗衣机等，拎包即可入住，WIFI全覆盖，暖气，有厨房可做饭，2.交通方便，舜泰广场浪潮集团玉兰广场，步行上班无压力，每天睡到自然醒3.实名登记入住，安全放心。房屋精装修，要求有正当职业，无不良嗜好，不扰民，作息时间规律。商圈：汉峪金谷，舜泰广场，齐鲁软件园，奥体会展、丁豪广场、万达广场。高新区周围各个小区都有我的房源，任您挑选，欢迎来电咨询
可月付 短租 唐冶西路 东八区 奥特莱斯 遥墙机场 水发,1室1厅1卫,整租,55㎡,南北,中层 / 33层,绿地城1期,"历城唐冶 - 唐冶中路,近唐冶西路",1050,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",房屋推荐特点：1、户型特点：中高层、户型方正、采光视野好，适宜居住。2、室内精装修，拎包入住，宽敞大方，使用率高；卧室温馨舒适，搭配心怡，厨房设施齐全。3、环境优雅，低密度社区，小区绿化率高，让你每天生活在空气清新的环境下。4、小区地理位置好，位于商业圈，交通便利，出小区就是站牌，小区周边配套设施齐全，银行、超市、菜市、学校、医院、商务会所，应有尽有。小区环境幽雅，绿化面积大，家里家室家电齐全，可带衣物直接入住！看房方便，提前预约！
泺祥新区 精装修拎包入住 全套家具紧邻汽车站药王楼随时看房,1室1厅1卫,整租,65㎡,南北,低层 / 18层,泺祥新区,天桥汽车厂东路 - 汽车厂东路8号,1800,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",一、一室一厅，空调，床，家具，电暖片，公用卫生间二、交通方便，离济洛路汽车厂东路长途汽车站药王楼中恒商城近三、具体装修情况请看照片四、本房源真实可靠，不发假房源，我们保证给介绍的房子是你们自己找不到的，而且价格是比你们自己找的价格便宜很多五、欢迎随时看房，提前联系，
舜耕路历阳大街阳光舜城银丰山庄 顶楼复式带车位 居住办公一体,4室2厅2卫,整租,225㎡,南北,高层 / 12层,银丰山庄,市中八里洼 - 历阳大道2号,7500,无,"['空调', '热水器', '床', '暖气', '宽带']",舜耕路高档小区，银丰山庄顶楼复式精装修，带5台空调，两张床，适合办公居住一体随时联系看房
经十路旅游路金鸡岭燕子山西路 办公别墅会所接待 好停车随时看,7室2厅3卫,整租,400㎡,南北,共3层,羊头峪山庄别墅区,历下环山路 - 环山路,16500,无,"['空调', '热水器', '暖气', '宽带', '可做饭']",经十路旅游路燕山立交金鸡岭附近别墅办公会所接待，停车方便空调暖气，能做饭
可月付 龙凤山路 飞跃大道 历城二中 贞观街 奥特莱斯 东八,1室1厅1卫,整租,55㎡,南,中层 / 11层,唐城小区,历城唐冶 - 机场路,1300,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",可月付季付半年付（房屋租赁请选择正规的中介公司！所有中介公司的房源我们都有、为了让您在短时间内找到合适的房子、建议您找我们一家中介、避免电话过多看重复房源）我公司是一家只做酒店式公寓的租赁房产公司，因为专一，所以专业！！1.房间家具有：床，床头柜，衣柜，沙发，茶几，写字桌。电器有空调，洗衣机，热水器，冰箱，油烟机等。2.精装修家私家电齐全、拎包入住。3.楼层好、视野开阔、采光好、4.房东全新装修、诚心出租、房源性价比高、5.800--1500独立厨卫，不是合租房（房间朝向大小位置配套楼层都在影响价格）【小区配套】1、小区位置优越、空气质量好、2、小区有停
荷兰庄园 精装修 电梯房 2室2厅2卫 价格可议,2室2厅2卫,整租,120㎡,南北,中层 / 7层,荷兰庄园,历下经十路历下段 - 转山西路18号,3500,距离地铁R3号线奥体中心站1815米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.两室两厅两卫2.房屋干净整洁，光照充足，可直接拎包入住。3.房屋精装修，厨房可做饭，餐厅可容纳多人同时就餐4.随时入住
华创观礼附近龙湖奥东11号 复试公寓出租家具家电齐全拎包入住,1室1厅1卫,整租,48㎡,南,中层 / 30层,龙湖奥东11号,高新汉峪 - 舜义路,2700,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",房子出租干净整洁家具家电齐全周边设施齐全紧邻奥体中心玉兰广场银丰财富中心龙奥天街龙奥金座阳光保险阳光金融中心喜来登大酒店汉峪金谷舜泰广场浪潮集团省立医院鲁商国奥城万象城CBD力高国际金宇大厦山东省人民法院中铁国际城中铁财智中心全运村中央广场华创管理中心重汽1956万科天泰金域中心中国电信齐鲁软件园科汇大厦雨滴广场知慧大厦三庆齐盛广场银荷大厦鑫盛广场高新万达广场铭盛大厦丁豪广场山东大学科技产业园国际会展中心贤文花园海信贤文世家山钢新天地新生活家园新东方花园万达华府盛世花城未来城茗筑美嘉小鸭集团牛旺庄明湖白鹭郡明湖太学院保利华庭龙园小区中海天悦府国华印象齐鲁文化创业基地海信创智谷理想嘉园鑫苑国际雅居园中铁汇苑燕山新居草山岭小区康桥颐东东城逸家北胡小区奥林逸城汉峪新苑舜奥华府南湖花园德润天玺奥龙观邸万科麓山凤凰国际中铁逸都国际玺园东荷苑晨熙家园东城逸家逸雅园一区东城逸家逸雅园二区东城逸家逸雅园三区东城逸家逸雅园四区东城逸家逸秀园二区东城逸家逸秀园一区东城逸家逸品园东城逸家逸士园一区东城逸家逸士园四区东城逸家逸贤园一区东城逸家逸贤园二区东城逸家逸俊园一区凤凰上郡三盛国际涵玉翠岭华皓英伦联邦兴旺家园汉峪海风经十路舜华路龙奥北路奥体中路奥体西路凤凰路人工智能大厦舜义路舜华南路辰祥路天辰路解放路周边都有房源各种单间公寓整租合租给我一分信任还您十分温暖让您拥有一个温暖的小家在这个漂泊的城市不再漂泊
汉峪金谷附近，重汽科技大厦，舜奥华府精装大三室拎包入住,3室2厅2卫,整租,159㎡,南北,中层 / 30层,济高舜奥华府,高新汉峪 - 舜华南路,4800,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",汉峪金谷，生活设施配套完善，邻近龙奥北路，经十路，旅游路出行方便。二、户型介绍：1.南北通透、宽敞舒适，简单装修，提包入住2.楼层适宜，采光足，视野开阔3.交通便利：私家车和公共交通都能方便出行。三、社区介绍：1.社区环境好，环境优美，适宜居住，人文素质高，物业管理完善2.小区的容积率非常小，属于低密度社区，非常适宜居住五、个人介绍：本房源是新的房源，发布及时，欢迎实地看
泊寓文创基地！整租！带独卫！有暖气！可申请租房补贴！,1室0厅1卫,整租,12㎡,东,高层 / 6层,万科麓公馆,高新齐鲁软件园 - 舜风路,1287,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭']",泊寓·城市青年家你想要的，这里都有P·A，共享餐厅、健身器材、影音放映、台球厅等配套设施全部免费使用潮生活、轻装修、自由住一、房间特征房间采用智能*锁，免去带钥匙的苦恼，24*无死角*，让您入住的更安全；房间不论大小均设有独立卫生间、空调、暖气、热水器、床、床垫、桌椅，另有20兆宽带专线；二、周边配套毗邻高新万达、美莲广场、丁豪广场等商圈；周边菜市场、宜快宜慢便利店、餐饮小吃应有尽有，出门即是站牌：123、87、202、63路，交通便利，四通八达，市中心无需倒车，一票直达。三、房间户型9-20平方loft（快乐窝），15-30平方平层（自由空间）实景实拍皂片（不是皂骗）五、三不租（不是闹着玩的）1、带熊*的粑粑麻麻2、35岁以上的怪蜀黍奏凯3、无正当职业者
洪楼广场南200米单位宿舍精装三室家电家具齐全个人长短租日租,3室1厅1卫,整租,95㎡,南北,中层 / 6层,粮食局宿舍(花园路),历城洪家楼 - 花园路106号,2400,无,"['空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",花园路洪楼广场南300米，山大陪读好房，单位宿舍三室一厅一厨一卫精装整租三楼，三张床两台空调，双气家电家具齐全，洗衣机热水器南北阳台，非常经济实惠三室一厅，预约看房.随时可以入住
鑫苑鑫中心 实图实价无中介  铂瑞斯 齐鲁华能路 科技,1室1厅1卫,整租,42.86㎡,南,高层 / 18层,鑫苑鑫中心,历城东风 - 华信路1号,2798,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']","中介勿扰中介勿扰中介勿扰1、公寓直租（不收取任何附加费用）一年起租（可短租）（可短租）（可短租）支持月付，季付，半年付，年付。（无中介费，月付无压力，付款方式不同，价格相应不同）全部房源为真实有效房源都实图实价2、房源充足（房源分布广，历城区、历下区、天桥区、市中区、高新区均有房源）3、房屋精装修标配风格家具、WIFI,空调，热水器，洗衣机等，专属管家服务，安全有保障4、不玩虚假套路，真情实意的为您挑选且合适的房源！"
党杨路刘长山绿地国际花都经典两室电梯房家具家电齐全领包即可,2室2厅1卫,整租,85㎡,南,高层 / 31层,绿地国际花都(二期),槐荫刘长山路槐荫段 - 党杨路,1300,距离地铁R1号线王府庄站1416米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",朋友，您好！欢迎光临我的店铺，如果您正在为找房而犯愁，您的贴心顾问正在等着您！——宋丽君，我的服务宗旨是：“用务实心，做专业人，真心交朋友。珍惜您的每一分钱”。一、房源优势：1、3室1厅格局方正，正南通透，使用率超赞，2、挑高客厅，宽敞大气二、户型介绍：室：2室2厅建筑面积：85装修：简装房屋类型：小区房)三、社区介绍：四、交通介绍：五、个人介绍：本房源是新房源，发布及时，欢迎并实地看房。
汉峪金谷 精装两室带车位邻舜泰软件园重汽北胡旅游路经十路龙洞,2室2厅1卫,整租,100㎡,南,中层 / 18层,瀚裕华园,高新汉峪 - 旅游路,2200,无,"['空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '可做饭', '阳台']",1、小区名称：瀚裕华园2、小区环境：省直机关宿舍、安全性高、汉峪片区环境优美、美绿化率高、车位充足、附近有超市、集市、医疗、中小学幼儿园3、公交路线：518、k131、k145等多路公交车直达奥体中心4.附近商业有：万达广场、丁豪广场、美莲广场、汉峪金谷、舜泰广场、中铁汇苑、国际会展中心、三庆世纪财富中心、银座、汽车银座、万达文旅城、建筑大学、体育学院、省立医院东院、奥体中心、浪潮集团、雨滴广场、齐鲁软件园、力高国际、高新cbd、三盛、小鸭工业园、炼油厂、中央广场、玉兰广场、龙奥大厦、海信创智谷、齐鲁文化创意基地、殷陈小学、济南高新区第二实验学校、济高实验学校、山师二附中、义和小学、唐冶、药谷、高新区管委会、高新区政务服务中心、天辰、博士伦、福瑞达、中国航天科技园、齐盛广场、科汇大厦、银荷大厦、铭盛大厦、龙翔商务大厦、宝威科技园、高新区奥体中路学校、轻骑集团、电子机械工程学校、中国铁建国际城、山东省胸科医院东院区。5.主做小区：丁豪广场、鲍山花园、万达华府、万达广场、东都国际、钢城新苑、济钢新村、金域华府、景苑小区、茗筑美嘉、牛旺小区、盛福家园、盛福花园、八涧堡小区、邓家花园、姜家花园、贤文花园、贤文世家、祥泰新河湾、殷陈小区、徐家庄（新徐印象）、中建新悦城、中新锦绣天地、中新国际城、金河山庄、凤凰国际、鲁邦奥林逸城、南湖花苑、北胡灏苑、田园山庄、东盛花园、东篱花园、石化园小区、万科幸福里、殷陈早市、保利花园、建大花园、尚东1956、中建凤栖第、恒生伴山、三庆城市主人、银盛泰金域蓝山、天齐奥东花园、龙湖春江郦城、河泰优山美郡、中建新悦城、星瀚城、铁厂宿舍（济钢第三工业南宿舍）、涵源新居、汉峪新苑、小瀚裕、兴旺家园、华皓英伦联邦、绿城玉兰花园、全运村、西蒋峪、锦屏家园、三盛国际公园、东鲁凤凰上郡、中铁逸都、舜奥华府、景和山庄、景苑小区、潇景苑小区、三箭汇福山庄、草山岭小区、联合财富广场、万科城、万科麓城、张马屯（东方丽苑）、盛景家园、绿城百合、明湖白鹭郡、水晶东座、未来城、牛旺庄小区、鑫苑国际城市花园、理想嘉园、汇展香格里拉、新生活家园、中垠雅苑、山钢新天地、丁家庄小区、华达宿舍、华达华苑、力高国际、中铁汇苑、新东方花园、万科新里程、中海天悦府、汉峪海风、。山水华府、明福花园、盛福苑、海信慧园、康桥颐东。6.交通干线：工业南路、经十路、花园东路、奥体中路、奥体西路、奥体东路、奥体北路、旅游路、凤凰路、舜华路、舜风路、天辰路、康虹路、铁骑路、世纪大道、凤园路、龙鼎大道、会展路、新泺大街、天泺路、浪潮路、伯乐路、舜泰北路、凤鸣路、凤岐路、工业北路、飞跃大道、颖秀路、沁园路、舜旺路、会展东路、会展西路、金达路、华茂路、龙奥北路、龙奥南路、凤新路、华盛路、百合东路、老石沟路、龙驰路、重德路、礼耕路、齐川路、正丰路、轻风路、中林路、八涧堡东路、八涧堡路、炼化路、凤山路。
新出一室一厅 初次出租全新家具家电 经十路万象城窑头路奥体！,1室1厅1卫,整租,40㎡,南北,中层 / 12层,卓越时代广场,历下浆水泉路 - 浆水泉路16号,1300,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",--------在诚基选万城地产--------我所发房源信息都【真实有效】房屋照片均为本人亲自拍摄！高效为您服务。【加手机号！】小区配置：1.诚基中心所有房源均为双气房，落地大飘窗！视野采光*棒！2.2010年新房电梯房，成熟社区院内购物方便！水电费也是全市统一价格。3.本店*诚基中心一室，两室，三室，精装豪装居住，办公房，*房，押一付一房各种价位均有！随时看房！免费看房！我们只专注做诚基中心租赁业务，并且拥有院内*多房源及经纪人，我们是诚基租赁交易平台，因为专一所以专业！别家中介有的房子我都有，我家有的房子他们没有！我*不吃差价透明交易，选择万城给您*专业的服务！区位优势：1.济南真正市中心位置，坐拥和平路山师东路两条市区主干道！这里就是城市中心位置优越。山师购物街旁闹中取静，步行10*即可到达济南泉城广场、趵突泉、泉城路等景点；2.出行交通便利门口站牌有102、K93、49、80、K96、2、151办公地点：和平路沿街诚基中心B3万城地产公司
绿地中央广场三区 3室2厅1卫 2900元月 配套齐全,3室2厅1卫,整租,117㎡,南北,中层 / 33层,绿地中央广场三区,槐荫西客站 - 齐州路3199号,2900,距离地铁R1号线济南西站站1121米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",此为房源，新状态清联系经纪人，其他房源也可电话咨询。
山大南路123号院 2室2厅1卫 2099元月 干净整洁,2室2厅1卫,整租,74.5㎡,南,中层 / 6层,山大南路123号院,历下解放桥 - 山大南路123号,2099,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.租金便宜：业主人很随和，很好说话，只要租户稳定，基本是没什么问题的；2.房屋介绍：房子户型正气，南朝向，采光跟通风都是没得挑，阳光很充足，原是业主自住的装修，带成套家具家电，可以拎包入住；3.随时看房：您只需提前跟我电话预约，即可免费带您去看房；户型：精装装修情况：户型正气，阳光超好，非常干净，空调、热水器、床、洗衣机、冰箱、电视，都有的。4具体的装修情况可看实拍照片温馨提醒：正规的中介机构均为免费看房，如签合同须签约本人同时出示与出租地址相符的房产证，交钱时应索取相应收据。5带客户看的每一套房子都是本人提前去看过的房子，对客户负责，用诚挚的服务，帮每一个客户找到自己满意的房子！不是你没有遇到合适的房子，而是没有遇到为你们全力以赴的房产经纪人，选择我——点击我的头像，进入我的店铺，更多房源已为你准备好。
豪华木质，临山师山艺华强省医，山师东路和平路，家电齐全拎包住,1室1厅1卫,整租,62㎡,南,高层 / 9层,诚基中心,历下和平路 - 和平路47号,1800,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",附近标识：山师、山艺、千医、省中医、八院二、小区介绍：以精装小户型为主，电梯房，配套设施齐全，成熟商圈，文化底蕴深厚，入住多为年轻人，有朝气.三、公交直达：省杂技团18路48路75路110路123路K59路K94路；山师东路文化东路31路K93路；附近其他公交站点有山大路文化东路.和平路历山东路.文化东路西口.经十路山师东路。
可短租！洪家楼校区七里堡市场环联 干净两居室 家具家电齐全,2室1厅1卫,整租,62㎡,南,高层 / 6层,七里堡小区,历城七里堡 - 二环东路1728号,1899,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']","1、高性价比付款方式灵活、季付、半年付、大程度方便住户，减轻租客压力2、白金地段，地铁口快捷交通。饭店、药店、水果店、各色小吃、便利店、足疗、美容美发、网吧、茶社、菜场等小型生活配套楼下醇熟配套，十分便利3、拎包入住房间均配置了大床、写字桌椅、温馨衣柜、洗衣机、24天然气热水，一应俱全，做到了真正的全装修拎包入住标准。4、配备齐全主卧：带独立卫生间，全新家具，床衣柜电脑桌家电：电视、洗衣机、厨房5、看房自由本房源真实存在，您只需要一个电话,即可带您看房,精装修,6.可入住时间：随时入"
可月付 唐冶西路 唐城小区对面 奥特莱斯附近 飞跃大道 精装,1室0厅1卫,整租,30㎡,南北,中层 / 36层,绿地城1期,"历城唐冶 - 唐冶中路,近唐冶西路",750,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",可月付季付半年付（房屋租赁请选择正规的中介公司！所有中介公司的房源我们都有、为了让您在短时间内找到合适的房子、建议您找我们一家中介、避免电话过多看重复房源）我公司是一家只做酒店式公寓的租赁房产公司，因为专一，所以专业！！1.房间家具有：床，床头柜，衣柜，沙发，茶几，写字桌。电器有空调，洗衣机，热水器，冰箱，油烟机等。2.精装修家私家电齐全、拎包入住。3.楼层好、视野开阔、采光好、4.房东全新装修、诚心出租、房源性价比高、5.800--1500独立厨卫，不是合租房（房间朝向大小位置配套楼层都在影响价格）【小区配套】1、小区位置优越、空气质量好、2、小区有停
汽车总站 翡翠郡 精装 拎包入住 随时看房 东工商河路,2室2厅1卫,整租,94㎡,南北,中层 / 24层,翡翠郡(南区),天桥汽车总站 - 无影山中路41号,2650,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1，房子翡翠郡南区2，标准的两室2厅面积都很大，空调，洗衣机，热水器，WIFI等家具家电齐全，拎包入住；3，距万达，大观园，火车站，汽车总站通讯城缤纷五洲都很近，位置优越；4，电梯房省去你的爬楼之苦；5，市政集中供暖，，可做饭；6，全部实图。
二环西 森林公园 会展中心 精装修 拎包入住,2室2厅1卫,整租,89.30㎡,南,高层 / 19层,龙腾国际花园,槐荫张庄路 - 张庄路363号,2500,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",房屋亮点：1，该房子敞亮开阔，户型极好，家具配套设施完善。2，小区内安保性极好，随处保安巡逻。3，内设幼儿园，便于接送。4，周边设有商场、超市、医疗、教育、休闲娱乐健身等项目。5，公交交通等设施齐全，交通便利，出行方便。6，小区发展成熟，绿化率高，空气清新，特别适合居住。租户稳定
汉峪金谷周边26方一室公寓，年前便宜甩租，可短租付一无杂费,1室1厅1卫,整租,26㎡,南,高层 / 33层,中铁奥体26方,高新汉峪 - 凤凰南路,1300,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",入住前深度保洁，做到拎包就能入住家具家电及时上门维修，随时可预约中途退租可以自行转租，减少违约损失地铁、公交公共交通便捷无忧…随便去哪儿周边各大商超、美食环绕其中，生活设施便利，吃喝玩乐，应有尽有
